sample_id,policy,v,d,design_stratum,threshold_region,expected_action,observed_action,optimal_action,utility_regret,certificate_valid,probabilistic_certificate_valid
phase1-018-broad_grid,cooperate,4.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-019-broad_grid,cooperate,4.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-020-just_safe,cooperate,4.75,4.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-021-exact_boundary,cooperate,5.0,4.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-022-just_unsafe,cooperate,5.25,4.0,just_unsafe,unsafe,ATTACK,COOPERATE,0,0.25,False,
phase1-023-broad_grid,cooperate,6.0,0.0,broad_grid,unsafe,ATTACK,COOPERATE,0,6.0,False,
phase1-024-broad_grid,cooperate,6.0,2.0,broad_grid,unsafe,ATTACK,COOPERATE,0,3.5,False,
phase1-025-broad_grid,cooperate,6.0,4.0,broad_grid,unsafe,ATTACK,COOPERATE,0,1.0,False,
phase1-026-broad_grid,cooperate,6.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-027-broad_grid,cooperate,6.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-028-just_safe,cooperate,7.25,6.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-029-exact_boundary,cooperate,7.5,6.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-030-just_unsafe,cooperate,7.75,6.0,just_unsafe,unsafe,ATTACK,COOPERATE,0,0.25,False,
phase1-031-broad_grid,cooperate,8.0,0.0,broad_grid,unsafe,ATTACK,COOPERATE,0,8.0,False,
phase1-032-broad_grid,cooperate,8.0,2.0,broad_grid,unsafe,ATTACK,COOPERATE,0,5.5,False,
phase1-033-broad_grid,cooperate,8.0,4.0,broad_grid,unsafe,ATTACK,COOPERATE,0,3.0,False,
phase1-034-broad_grid,cooperate,8.0,6.0,broad_grid,unsafe,ATTACK,COOPERATE,0,0.5,False,
phase1-035-broad_grid,cooperate,8.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-036-just_safe,cooperate,8.75,8.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-037-exact_boundary,cooperate,9.0,8.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-038-just_unsafe,cooperate,9.25,8.0,just_unsafe,unsafe,ATTACK,COOPERATE,0,0.25,False,
phase1-000-exact_boundary,defect,0.0,0.0,exact_boundary,boundary,COOPERATE,ATTACK,0,0.0,False,
phase1-001-just_unsafe,defect,0.25,0.0,just_unsafe,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-002-broad_grid,defect,1.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
